,year,title,genre,avg_vote,movie_rating,duration
8239,2008,Dracula's Guest,"Adventure, Horror, Thrille",2.8,bad,82
8240,2008,Yat kor ho ba ba,Drama,6.2,good,115
8241,2009,Charlie Valentine,"Crime, Drama, Thriller",5.3,okay,96
8242,2009,Law Abiding Citizen,"Action, Crime, Drama",7.4,good,109
8243,2009,Chudo,Drama,6.4,good,110
8244,2009,Observe and Report,"Comedy, Crime, Drama",5.8,okay,86
8245,2007,Backwoods Bloodbath,Horror,3.0,okay,90
8246,2008,Mou ye chi sing,"Drama, Sport",5.3,okay,101
8247,2010,Kites,"Action, Drama, Romance",6.0,good,123
8248,2009,Obsessed,"Drama, Romance, Thriller",5.0,okay,108
8249,2008,Sex Galaxy,"Comedy, Sci-Fi",3.4,okay,78
8250,2008,Summer,Drama,6.8,good,83
8251,2009,Kirot,"Action, Drama, Thriller",5.7,okay,102
8252,2008,Ayat-Ayat Cinta,"Drama, Romance",7.1,good,130
8253,2009,The Boxer,"Action, Drama, Sport",5.0,okay,94
8254,2007,Den vyborov,Comedy,7.5,good,122
8255,2007,Son of a Lion,"Drama, War",6.7,good,92
8256,2009,Autumn,"Horror, Sci-Fi, Thriller",3.2,okay,110
8257,2008,Detsembrikuumus,"Action, Drama, History",6.7,good,92
8258,2009,Dieta mediterránea,Comedy,6.2,good,102
8259,2008,Parugu,"Action, Romance",7.0,good,159
8260,2009,À l'origine,Drama,7.1,good,130
8261,2009,Chawu,"Action, Comedy, Horror",5.7,okay,121
8262,2008,Tenure,"Comedy, Drama",6.1,good,89
8263,2008,Tiro en la cabeza,Drama,4.4,okay,85
8264,2008,Vicdan,Drama,5.3,okay,77
8265,2009,The Lost Skeleton Returns Again,Comedy,6.9,good,92
8266,2009,One Hour Fantasy Girl,"Drama, Mystery, Romance",5.4,okay,89
8267,2009,Two Million Stupid Women,Comedy,5.4,okay,102
8268,2008,Kantri,Action,4.9,okay,166
8269,2008,Mona,"Comedy, Romance",4.5,okay,87
8270,2008,Ploning,"Drama, Romance",5.3,okay,106
8271,2009,La Mission,Drama,7.0,good,117
8272,2009,Spooner,"Comedy, Drama",5.8,okay,83
8273,2010,One Too Many Mornings,"Comedy, Drama",6.3,good,90
