,date,city,price
536,1988-12-01,FL-Tampa,80.74
537,1988-12-01,GA-Atlanta,
538,1988-12-01,IL-Chicago,67.7
539,1988-12-01,MA-Boston,74.79
540,1988-12-01,MI-Detroit,
541,1988-12-01,MN-Minneapolis,
542,1988-12-01,NC-Charlotte,69.7
543,1988-12-01,NV-Las Vegas,67.98
544,1988-12-01,NY-New York,84.33
545,1988-12-01,OH-Cleveland,61.06
546,1988-12-01,OR-Portland,44.24
547,1988-12-01,TX-Dallas,
548,1988-12-01,WA-Seattle,
549,1988-12-01,Composite-10,77.58
550,1988-12-01,Composite-20,
551,1988-12-01,National-US,73.29
552,1989-01-01,AZ-Phoenix,67.54
553,1989-01-01,CA-Los Angeles,87.3
554,1989-01-01,CA-San Diego,70.96
555,1989-01-01,CA-San Francisco,62.66
556,1989-01-01,CO-Denver,47.23
557,1989-01-01,DC-Washington,86.5
558,1989-01-01,FL-Miami,76.59
559,1989-01-01,FL-Tampa,80.41
560,1989-01-01,GA-Atlanta,
561,1989-01-01,IL-Chicago,67.46
562,1989-01-01,MA-Boston,74.23
563,1989-01-01,MI-Detroit,
564,1989-01-01,MN-Minneapolis,63.13
565,1989-01-01,NC-Charlotte,69.76
566,1989-01-01,NV-Las Vegas,68.73
567,1989-01-01,NY-New York,84.32
568,1989-01-01,OH-Cleveland,61.41
569,1989-01-01,OR-Portland,44.26
570,1989-01-01,TX-Dallas,
571,1989-01-01,WA-Seattle,
572,1989-01-01,Composite-10,77.99
573,1989-01-01,Composite-20,
574,1989-01-01,National-US,73.62
575,1989-02-01,AZ-Phoenix,67.43
576,1989-02-01,CA-Los Angeles,88.28
577,1989-02-01,CA-San Diego,72.27
578,1989-02-01,CA-San Francisco,63.32
579,1989-02-01,CO-Denver,47.21
580,1989-02-01,DC-Washington,87.34
581,1989-02-01,FL-Miami,76.82
582,1989-02-01,FL-Tampa,80.73
583,1989-02-01,GA-Atlanta,
584,1989-02-01,IL-Chicago,68.32
585,1989-02-01,MA-Boston,74.59
586,1989-02-01,MI-Detroit,
587,1989-02-01,MN-Minneapolis,62.81
588,1989-02-01,NC-Charlotte,70.23
589,1989-02-01,NV-Las Vegas,69.11
590,1989-02-01,NY-New York,83.77
591,1989-02-01,OH-Cleveland,61.25
592,1989-02-01,OR-Portland,44.57
593,1989-02-01,TX-Dallas,
594,1989-02-01,WA-Seattle,
595,1989-02-01,Composite-10,78.36
596,1989-02-01,Composite-20,
597,1989-02-01,National-US,73.97
598,1989-03-01,AZ-Phoenix,67.71
